,Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,URLs
3131,Master Your Thinking: A Practical Guide to Align Yourself with Reality and Achieve Tangible Results in the Real World (Mastery Series Book 5),Thibaut Meurisse,"Health, Family & Personal Development",Self-Help,Kindle Edition,₹223.00,4.5,640,https://www.amazon.in/Master-Your-Thinking-Practical-Yourself-ebook/dp/B0874WBM3D/ref=zg_bs_g_23033695031_d_sccl_2/000-0000000-0000000?psc=1
3132,Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi,Robert Kiyosaki,"Health, Family & Personal Development",Self-Help,Paperback,₹322.00,4.5,16061,https://www.amazon.in/Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218/ref=zg_bs_g_23033695031_d_sccl_3/000-0000000-0000000?psc=1
3133,"Spiritual Anatomy: Meditation, Chakras, and the Journey to the Center",Daaji Kamlesh D. Patel,"Health, Family & Personal Development",Self-Help,Hardcover,₹324.00,4.8,100,https://www.amazon.in/Spiritual-Anatomy-Meditation-Chakras-Journey/dp/9356997799/ref=zg_bs_g_23033695031_d_sccl_4/000-0000000-0000000?psc=1
3134,Manifest,Roxie Nafousi,"Health, Family & Personal Development",Self-Help,Hardcover,₹334.00,4.6,3641,https://www.amazon.in/Manifest-Sunday-Times-bestseller-change/dp/0241539595/ref=zg_bs_g_23033695031_d_sccl_5/000-0000000-0000000?psc=1
3135,LIFES AMAZING SECRETS,Gaur Gopal Das,"Health, Family & Personal Development",Self-Help,Paperback,₹207.00,4.6,23161,https://www.amazon.in/LIFES-AMAZING-SECRETS-Gaur-Gopal/dp/0143442295/ref=zg_bs_g_23033695031_d_sccl_6/000-0000000-0000000?psc=1
3136,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,"Health, Family & Personal Development",Self-Help,Paperback,₹157.00,4.5,24554,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=zg_bs_g_23033695031_d_sccl_7/000-0000000-0000000?psc=1
3137,"The Courage to Be Disliked : How to Free Yourself, Change Your Life and Achieve Real Happiness",Fumitake Koga,"Health, Family & Personal Development",Self-Help,Audible Audiobook,"₹1,063.00",4.5,12730,https://www.amazon.in/Courage-Be-Disliked-Yourself-Happiness/dp/B079MBMBJK/ref=zg_bs_g_23033695031_d_sccl_8/000-0000000-0000000?psc=1
3138,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Health, Family & Personal Development",Self-Help,Audible Audiobook,"₹1,238.00",4.5,141395,https://www.amazon.in/Subtle-Art-Not-Giving-Counterintuitive/dp/B079BN6M71/ref=zg_bs_g_23033695031_d_sccl_9/000-0000000-0000000?psc=1
3139,YOU ONLY LIVE ONCE,STUTI CHANGLE,"Health, Family & Personal Development",Self-Help,Paperback,₹164.00,4.4,3796,https://www.amazon.in/ONLY-LIVE-ONCE-STUTI-CHANGLE/dp/0143453580/ref=zg_bs_g_23033695031_d_sccl_10/000-0000000-0000000?psc=1
3140,"Atomic Habits: Chote Badlav, Asadharan Parinaam - Hindi",Sudhir Dixit,"Health, Family & Personal Development",Self-Help,Paperback,₹244.00,4.5,3470,https://www.amazon.in/Atomic-Habits-Badlav-Asadharan-Parinaam/dp/939008525X/ref=zg_bs_g_23033695031_d_sccl_11/000-0000000-0000000?psc=1
3141,The Compound Effect,Darren Hardy,"Health, Family & Personal Development",Self-Help,Paperback,₹239.00,4.6,17727,https://www.amazon.in/Compound-Effect-Darren-Hardy/dp/9390924634/ref=zg_bs_g_23033695031_d_sccl_12/000-0000000-0000000?psc=1
3142,Feel-Good Productivity: How to Do More of What Matters to You,Ali Abdaal,"Health, Family & Personal Development",Self-Help,Audible Audiobook,₹957.00,4.5,1020,https://www.amazon.in/Feel-Good-Productivity-More-What-Matters/dp/B0C37MTQ49/ref=zg_bs_g_23033695031_d_sccl_13/000-0000000-0000000?psc=1
3143,Think and Grow Rich: THE 21st CENTURY EDITION,Napoleon Hill,"Health, Family & Personal Development",Self-Help,Paperback,₹99.00,4.5,5379,https://www.amazon.in/Think-Grow-Rich-21st-CENTURY/dp/9389931525/ref=zg_bs_g_23033695031_d_sccl_14/000-0000000-0000000?psc=1
3144,"Communication Book, The",Mikael Krogerus,"Health, Family & Personal Development",Self-Help,Hardcover,₹198.00,4.2,951,https://www.amazon.in/Communication-Book-Mikael-Krogerus/dp/0241982286/ref=zg_bs_g_23033695031_d_sccl_15/000-0000000-0000000?psc=1
3145,THE POWER OF YOUR SUBCONSCIOUS MIND,Joseph Murphy,"Health, Family & Personal Development",Self-Help,Paperback,₹115.00,4.5,81265,https://www.amazon.in/POWER-YOUR-SUBCONSCIOUS-MIND/dp/935333845X/ref=zg_bs_g_23033695031_d_sccl_16/000-0000000-0000000?psc=1
3146,"The Power of One Thought: Master Your Mind, Master Your Life",BK Shivani,"Health, Family & Personal Development",Self-Help,Paperback,₹203.00,4.8,535,https://www.amazon.in/Power-One-Thought-Master-Your/dp/9356993335/ref=zg_bs_g_23033695031_d_sccl_17/000-0000000-0000000?psc=1
3147,CULTure at Zomato : How to Rewire Your Brain for Greatness,Deepinder Goyal,"Health, Family & Personal Development",Self-Help,Hardcover,₹334.00,4,81,https://www.amazon.in/CULTure-Zomato-Rewire-Brain-Greatness/dp/935345171X/ref=zg_bs_g_23033695031_d_sccl_18/000-0000000-0000000?psc=1
3148,12 Rules for Life : An Antidote to Chaos,Jordan B. Peterson,"Health, Family & Personal Development",Self-Help,Paperback,₹281.00,4.5,69613,https://www.amazon.in/12-Rules-Life-Antidote-Chaos/dp/0141988517/ref=zg_bs_g_23033695031_d_sccl_19/000-0000000-0000000?psc=1
3149,Dale Carnegie’s How to Win Friends and Influence People - English | International Self-Help Bestseller for building Motivation/Inspiration/Leadership | Improve Communication skills and Self confidence | Perfect Guide for Students/Professionals,Dale Carnegie,"Health, Family & Personal Development",Self-Help,Paperback,₹89.00,4.4,592,https://www.amazon.in/Friends-Influence-People-International-Bestseller/dp/8194899133/ref=zg_bs_g_23033695031_d_sccl_20/000-0000000-0000000?psc=1
3550,Man's Search For Meaning: The classic tribute to hope from the Holocaust,Victor E. Frankl,Literature & Fiction,Classic Fiction,Paperback,₹206.00,4.5,84339,https://www.amazon.in/Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_g_1318159031_d_sccl_1/000-0000000-0000000?psc=1
3551,Metamorphosis,Franz Kafka,Literature & Fiction,Classic Fiction,Paperback,₹89.00,4.5,11646,https://www.amazon.in/Metamorphosis-Franz-Kafka/dp/8172345135/ref=zg_bs_g_1318159031_d_sccl_2/000-0000000-0000000?psc=1
3552,Best of Children’s Classic (Set of 5 Books) : Perfect Gift Set for Kids,Antoine de Saint-Exupéry,Literature & Fiction,Classic Fiction,Paperback,₹499.00,4.4,6736,https://www.amazon.in/Best-Childrens-Classics-Set-Books/dp/9389432006/ref=zg_bs_g_1318159031_d_sccl_3/000-0000000-0000000?psc=1
3553,Arthashastra by Kautilya - A Masterpiece on Economic Policies | Ancient Indian Political Philosophy | Hindu Spiritual Wisdom | Timeless Teachings | Practical Guidance | Leadership | Rich Insights from the Vedic Tradition,KAUTILYA,Literature & Fiction,Classic Fiction,Paperback,₹199.00,4.5,1531,https://www.amazon.in/Arthashastra-Kautilya/dp/9354403700/ref=zg_bs_g_1318159031_d_sccl_4/000-0000000-0000000?psc=1
3554,THE POWER OF YOUR SUBCONSCIOUS MIND,Joseph Murphy,Literature & Fiction,Classic Fiction,Paperback,₹115.00,4.5,81265,https://www.amazon.in/POWER-YOUR-SUBCONSCIOUS-MIND/dp/935333845X/ref=zg_bs_g_1318159031_d_sccl_5/000-0000000-0000000?psc=1
3555,1984,George Orwell,Literature & Fiction,Classic Fiction,Paperback,₹99.00,4.5,125234,https://www.amazon.in/1984-George-Orwell/dp/9389053730/ref=zg_bs_g_1318159031_d_sccl_6/000-0000000-0000000?psc=1
3556,The Time Machine,H. G. Wells,Literature & Fiction,Classic Fiction,Paperback,₹99.00,4.4,4532,https://www.amazon.in/Time-Machine-H-G-Wells/dp/8175992956/ref=zg_bs_g_1318159031_d_sccl_7/000-0000000-0000000?psc=1
3557,As a Man Thinketh,James Allen,Literature & Fiction,Classic Fiction,Paperback,₹69.00,4.4,12254,https://www.amazon.in/As-Man-Thinketh-James-Allen/dp/9386538172/ref=zg_bs_g_1318159031_d_sccl_8/000-0000000-0000000?psc=1
3558,Crime And Punishment,Fyodor Dostoyevsky,Literature & Fiction,Classic Fiction,Paperback,₹239.00,4.5,13869,https://www.amazon.in/Crime-Punishment-Fyodor-Dostoyevsky/dp/9386538059/ref=zg_bs_g_1318159031_d_sccl_9/000-0000000-0000000?psc=1
3950,"The Glucose Goddess Method: Your four-week guide to cutting cravings, getting your energy back, and feeling amazing. With 100+ super easy recipes",Jessie Inchauspé,Medicine & Health Sciences,Administration & Policy,Paperback,"₹1,912.00",4.6,2275,https://www.amazon.in/Glucose-Goddess-Method-four-week-cravings/dp/1915780004/ref=zg_bs_g_4149550031_d_sccl_1/000-0000000-0000000?psc=1
3951,"Future Care : Sensors, Artificial Intelligence, and the Reinvention of Medicine",Jag Singh,Medicine & Health Sciences,Administration & Policy,Hardcover,₹669.00,4.5,58,https://www.amazon.in/Future-Care-Artificial-Intelligence-Reinvention/dp/1945564253/ref=zg_bs_g_4149550031_d_sccl_2/000-0000000-0000000?psc=1
3952,Essentials of Community Medicine Practicals,DK Mahabalaraju,Medicine & Health Sciences,Administration & Policy,Paperback,₹799.00,5,2,https://www.amazon.in/Essentials-Community-Medicine-Practicals-Mahabalaraju/dp/935696291X/ref=zg_bs_g_4149550031_d_sccl_3/000-0000000-0000000?psc=1
3953,Manual of Diagnostic Ultrasound,Philip E. S. Palmer,Medicine & Health Sciences,Administration & Policy,Paperback,"₹1,380.00",4.2,74,https://www.amazon.in/Manual-Diagnostic-Ultrasound-Philip-Palmer/dp/9241544619/ref=zg_bs_g_4149550031_d_sccl_4/000-0000000-0000000?psc=1
3954,Pulse to Planet: The Long Lifeline of Human Health,K. Srinath Reddy,Medicine & Health Sciences,Administration & Policy,Paperback,₹389.00,4.7,8,https://www.amazon.in/Pulse-Planet-Lifeline-Human-Health/dp/9356994633/ref=zg_bs_g_4149550031_d_sccl_5/000-0000000-0000000?psc=1
3955,"Unnatural Causes: 'An absolutely brilliant book. I really recommend it, I don't often say that' Jeremy Vine, BBC Radio 2 [Paperback] Shepherd, Richard",Dr Richard Shepherd,Medicine & Health Sciences,Administration & Policy,Paperback,₹883.00,4.6,20609,https://www.amazon.in/Unnatural-Causes-absolutely-brilliant-recommend/dp/1405923539/ref=zg_bs_g_4149550031_d_sccl_6/000-0000000-0000000?psc=1
3956,Pharmacy OSCEs and Competency-based Assessments -1E,Roisin O'Hare,Medicine & Health Sciences,Administration & Policy,Paperback,"₹2,101.00",4.3,44,https://www.amazon.in/Pharmacy-OSCEs-Competency-based-Assessments-Haughey/dp/0702067016/ref=zg_bs_g_4149550031_d_sccl_7/000-0000000-0000000?psc=1
3957,ENT OSCEs: A guide to your first ENT job and passing the MRCS (ENT) OSCE,"Livy Kullar, Peter | Manjaly, Joseph | Kenyon",Medicine & Health Sciences,Administration & Policy,Paperback,"₹3,399.00",5,1,https://www.amazon.in/ENT-OSCEs-guide-passing-MasterPass/dp/1032191732/ref=zg_bs_g_4149550031_d_sccl_8/000-0000000-0000000?psc=1
3958,Office Management,Pillai R.S.N.,Medicine & Health Sciences,Administration & Policy,Paperback,₹240.00,4,21,https://www.amazon.in/Office-Management-Pillai-R-S-N/dp/8121922526/ref=zg_bs_g_4149550031_d_sccl_9/000-0000000-0000000?psc=1
3959,Cardiac Rehabilitation: A practical clinical guide (The European Society of Cardiology Series),Ana Abreu,Medicine & Health Sciences,Administration & Policy,Paperback,"₹4,485.00",4.4,13,https://www.amazon.in/ESC-Handbook-Cardiovascular-Rehabilitation-Cardiology/dp/0198849303/ref=zg_bs_g_4149550031_d_sccl_10/000-0000000-0000000?psc=1
4850,மாயோனின் காரிகை அவள்...! (Tamil Edition),யாஷ் கார்முகில்  Yash Karmugil,Romance,Action & Adventure,Kindle Edition,₹351.00,4.3,71,https://www.amazon.in/%E0%AE%AE%E0%AE%BE%E0%AE%AF%E0%AF%8B%E0%AE%A9%E0%AE%BF%E0%AE%A9%E0%AF%8D-%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AE%BF%E0%AE%95%E0%AF%88-Tamil-%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%AE%E0%AF%81%E0%AE%95%E0%AE%BF%E0%AE%B2%E0%AF%8D-Karmugil-ebook/dp/B0CVFWG536/ref=zg_bs_g_86208349031_d_sccl_1/000-0000000-0000000?psc=1
4851,மோதும் மோகனங்கள் : Mothum mokanangal (Tamil Edition),ஜெநிஷா  தீன் ,Romance,Action & Adventure,Kindle Edition,₹499.00,3.9,19,https://www.amazon.in/%E0%AE%AE%E0%AF%8B%E0%AE%A4%E0%AF%81%E0%AE%AE%E0%AF%8D-%E0%AE%AE%E0%AF%8B%E0%AE%95%E0%AE%A9%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D-Mothum-mokanangal-Tamil-ebook/dp/B0CVJ8WKMX/ref=zg_bs_g_86208349031_d_sccl_2/000-0000000-0000000?psc=1
4852,YOU ONLY LIVE ONCE,STUTI CHANGLE,Romance,Action & Adventure,Paperback,₹164.00,4.4,3796,https://www.amazon.in/ONLY-LIVE-ONCE-STUTI-CHANGLE/dp/0143453580/ref=zg_bs_g_86208349031_d_sccl_3/000-0000000-0000000?psc=1
4853,When She Unravels: A Dark Mafia Romance (The Fallen Book 1),Gabrielle Sands,Romance,Action & Adventure,Kindle Edition,₹416.00,4.4,10672,https://www.amazon.in/When-She-Unravels-Romance-Fallen-ebook/dp/B0B75FJH6J/ref=zg_bs_g_86208349031_d_sccl_4/000-0000000-0000000?psc=1
4854,Skin of a Sinner: A Dark Childhood Best Friends Romance,Avina St. Graves,Romance,Action & Adventure,Kindle Edition,₹283.00,4,4808,https://www.amazon.in/Skin-Sinner-Childhood-Friends-Romance-ebook/dp/B0CJFPS4TG/ref=zg_bs_g_86208349031_d_sccl_5/000-0000000-0000000?psc=1
4855,KING: Alliance Series Book Two,S.J. Tilly,Romance,Action & Adventure,Kindle Edition,₹149.00,4.4,14931,https://www.amazon.in/KING-Alliance-Book-S-J-Tilly-ebook/dp/B0C1RXFS3R/ref=zg_bs_g_86208349031_d_sccl_6/000-0000000-0000000?psc=1
4856,Bound by Hatred: Enemies to Lovers Indian Romance,M.V. Kasi,Romance,Action & Adventure,Kindle Edition,₹199.00,4.4,731,https://www.amazon.in/Bound-Hatred-Singham-Bloodlines-Book-ebook/dp/B075FTSG67/ref=zg_bs_g_86208349031_d_sccl_7/000-0000000-0000000?psc=1
4857,உண்மைச் சொன்னால் நேசிப்பாயா?? (முழு தொகுப்பு) (Tamil Edition),யாஷ் கார்முகில்  Yash karmugil ,Romance,Action & Adventure,Kindle Edition,₹500.00,4.3,25,https://www.amazon.in/%E0%AE%89%E0%AE%A3%E0%AF%8D%E0%AE%AE%E0%AF%88%E0%AE%9A%E0%AF%8D-%E0%AE%9A%E0%AF%8A%E0%AE%A9%E0%AF%8D%E0%AE%A9%E0%AE%BE%E0%AE%B2%E0%AF%8D-%E0%AE%A8%E0%AF%87%E0%AE%9A%E0%AE%BF%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%AF%E0%AE%BE-%E0%AE%A4%E0%AF%8A%E0%AE%95%E0%AF%81%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AF%81-Tamil-ebook/dp/B0CR86ZPSP/ref=zg_bs_g_86208349031_d_sccl_8/000-0000000-0000000?psc=1
